Total Solar & Wind Capacity by State and Year (MW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AK,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0,0,0,2,2,20,6,6,6,14,14,14.8,65.4,120,145.4,121.2,121.2,121.2,121.2,123.2,120.8,120.8,120.8,134.6
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,364.4,393.8,393.8,393.8,847.8,847.8,1207.8
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26,38,200,224.4,427.4,447.4,659.4,1641.8
AZ,0,0,0,0,0,0,0,0.4,0.32,1.14,2,2,2,16,16,18,18,18,18,148,297,538.6,1772.2,2803.4,3279.8,3565.8,4313.6,4651.8,4669.2,4850.6,6058.4,6856.2,7288.2,9582
CA,4276.16,4449.22,4323.62,4274.54,4113.42,4087.9,3913.6,3753.1,3733.62,3941.84,3908,4018,4306,4678,4866,4936,5318,5444,5578,6221,6593,8793.2,13413.4,18035.2,23324,25595.2,30465.8,32658.6,35830.8,37916,40888,43297,47735.2,52508.8
CO,0,0,0,0,0,0,0,0,0,0,34,102,118,442,454,458,578,2146,2154,2509,2677,3779.8,4831.8,4905.4,5447.4,6325.6,6893,7138.6,8473.6,8732.6,10809.8,12186.4,12961.4,15107
CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,20,60.4,77.6,182.2,281.8,333,501.6,556.8,585.8
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,18.6,30.6,37,39.2
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,52.6,60.6,63.2,65.6,65.6,68,70.8,77.6,77.6,80.2,183.2,183.2
FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,250,134.2,135.4,137.8,150.2,169.2,661.2,1035.4,2803.2,4290,7570.2,9906,11991.8,15606.8
GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,122.2,137.2,482.4,1956.2,1971.8,2052.4,3050.2,4415.4,6160,7285.8,8269
