Year,Event_Category,SAIDI,SAIFI,CAIDI
2013,IEEE_All_Events,227.2,1.187,191.5
2014,IEEE_All_Events,236.2,1.257,188
2015,IEEE_All_Events,209,1.275,163.9
2016,IEEE_All_Events,268.4,1.327,202.2
2017,IEEE_All_Events,505.9,1.42,356.2
2018,IEEE_All_Events,349.2,1.34,260.5
2019,IEEE_All_Events,295.5,1.332,221.8
2020,IEEE_All_Events,456.1,1.385,329.3
2021,IEEE_All_Events,475.8,1.436,331.2
2022,IEEE_All_Events,333,1.426,233.5
2023,IEEE_All_Events,366.6,1.348,271.8
2013,IEEE_No_Major_Events,111.9,0.994,112.6
2014,IEEE_No_Major_Events,114.2,1.038,110
2015,IEEE_No_Major_Events,117,1.073,109.1
2016,IEEE_No_Major_Events,119.8,1.082,110.7
2017,IEEE_No_Major_Events,117,1.023,114.3
2018,IEEE_No_Major_Events,121.4,1.051,115.5
2019,IEEE_No_Major_Events,122.2,1.04,117.5
2020,IEEE_No_Major_Events,116,1.013,114.5
2021,IEEE_No_Major_Events,125.7,1.039,120.9
2022,IEEE_No_Major_Events,131.1,1.09,120.2
2023,IEEE_No_Major_Events,123.9,1.022,121.3
2013,IEEE_LOSR,225.5,1.113,202.6
2014,IEEE_LOSR,244.8,1.202,203.7
2015,IEEE_LOSR,198.2,1.163,170.4
2016,IEEE_LOSR,257,1.23,209
2017,IEEE_LOSR,489.6,1.254,390.6
2018,IEEE_LOSR,338.5,1.193,283.8
2019,IEEE_LOSR,289.1,1.189,243
2020,IEEE_LOSR,460.5,1.238,371.9
2021,IEEE_LOSR,404.5,1.294,312.6
2022,IEEE_LOSR,324.7,1.315,246.9
2023,IEEE_LOSR,357.7,1.242,288
2013,Any_Method_All_Events,215.7,1.2,179.8
2014,Any_Method_All_Events,219,1.22,179.6
2015,Any_Method_All_Events,205,1.246,164.5
2016,Any_Method_All_Events,249.2,1.292,192.9
2017,Any_Method_All_Events,473.1,1.394,339.3
2018,Any_Method_All_Events,346.4,1.325,261.5
2019,Any_Method_All_Events,284.6,1.325,214.8
2020,Any_Method_All_Events,491.9,1.44,341.7
2021,Any_Method_All_Events,440,1.425,308.8
2022,Any_Method_All_Events,335.5,1.405,238.8
2023,Any_Method_All_Events,342,1.333,256.6
2013,Any_Method_No_Major_Events,106.1,0.992,106.9
2014,Any_Method_No_Major_Events,109.7,1.019,107.7
2015,Any_Method_No_Major_Events,113.1,1.046,108.1
2016,Any_Method_No_Major_Events,116.9,1.062,110
2017,Any_Method_No_Major_Events,114.4,1.007,113.6
2018,Any_Method_No_Major_Events,117.2,1.028,114
2019,Any_Method_No_Major_Events,118.6,1.017,116.6
2020,Any_Method_No_Major_Events,119,1.037,114.7
2021,Any_Method_No_Major_Events,121.5,1.025,118.5
2022,Any_Method_No_Major_Events,125.7,1.064,118.1
2023,Any_Method_No_Major_Events,118.4,0.999,118.5
