Method,Event_Grouping,Census_Division,CT,ME,MA,NH,RI,VT,NJ,NY,PA,IL,IN,MI,OH,WI,IA,KS,MN,MO,NE,ND,SD,DE,DC,FL,GA,MD,NC,SC,VA,WV,AL,KY,MS,TN,AR,LA,OK,TX,AZ,CO,ID,MT,NV,NM,UT,WY,CA,OR,WA,AK,HI
IEEE,All Events (With Major Event Days),2013,179.6,971.3,435.5,209.3,783.2,240,167.7,274.1,143.2,182.1,246.9,791,214.8,162.9,140.5,258.2,388.1,291.1,104.3,98.7,1010.9,158.5,124,79.3,124.9,119.6,240.4,117.7,878.3,542.1,272.9,175.6,198.7,183.2,252.8,560.5,498.5,149.6,73.9,139.1,245.4,172,68.2,134.9,209.3,386.5,100.2,182.7,174.7,384.1,
IEEE,All Events (With Major Event Days),2014,93.7,1049.3,126.8,815.3,54.2,240,111.7,198,438.3,197.6,236.5,592.5,185.5,154.1,151.3,153.4,123.1,134.3,98.3,102.5,120.6,169.8,96,89.4,252.3,255.9,519,787,287.1,662.8,282.9,249.5,279.4,277.7,238.5,499.1,115.9,198.6,86.9,86.7,168.4,144.9,75.7,74.5,193.9,201.9,113,259.9,412.6,312,
IEEE,All Events (With Major Event Days),2015,112.5,213.6,86.4,117.3,341.8,193.4,263.6,146.4,166.2,170.9,257.4,374.5,167.5,107.8,96,350.5,160.8,164.9,67.9,113.6,135,191.4,112.4,86.1,248.2,117.2,220.8,234.3,249,814.6,274.7,245.8,363.3,257.5,326.2,411.9,597,279.8,89.6,107.9,238.1,295.4,107,108.8,203.2,181.3,120.4,225.9,620.9,657.8,152
IEEE,All Events (With Major Event Days),2016,201.1,535.4,148.6,192.5,168.9,198.8,137.5,206.1,132.3,136.1,254.2,268.4,169.5,147.8,136.5,169.1,308.9,215.4,63.1,152.8,255.8,148.7,115,388.2,424,120.7,857.5,1698.8,317.6,743.4,174.2,194.3,276.3,212.9,400.5,442.6,326.3,216.8,86.9,154.5,183,155.7,95.7,130.4,193.4,180.2,119.9,233.5,258,196.6,109.3
IEEE,All Events (With Major Event Days),2017,348.9,2492.6,178.7,915.4,728.3,1792.4,85.5,344.5,184.5,120,223.5,802.2,246.8,219.2,128.1,368.6,129.8,307.2,160.7,91.2,101.7,154.6,57.5,2693.2,1030.8,103.1,282.2,386.9,279.2,690.8,242.4,193.3,580.2,621.5,405.6,423.5,194,486.8,89.5,132.7,253.9,218.9,114.4,121.2,142.1,201.4,243.2,314.5,311.3,149.2,254.3
IEEE,All Events (With Major Event Days),2018,761.6,665.3,865.3,450.8,594.8,929.8,505.5,396.5,564,143.8,302.4,450.2,240.3,117,115.4,151.3,128.1,151.2,185.7,111.2,93.1,136.2,109.2,305.5,230.7,330.4,1877.6,488.6,1133.7,739.7,457.8,407.5,271.6,217.5,330.9,285.7,154.7,170.4,111.6,99.9,169.9,135.4,126.2,132.9,115.5,125.4,199.4,111.4,265.3,339.3,198
IEEE,All Events (With Major Event Days),2019,246.6,908.1,244.3,219.6,236.5,334,249.7,323.7,252.5,116.3,266.6,570.2,303.8,383.5,126,241.2,148.9,261,78.9,132.6,311.4,102,77,88.9,149.8,143.8,287.5,338.2,478,755.2,183.7,204.2,466.1,252.9,451.2,521.2,186.2,254.8,83.3,184.5,155.4,165.8,87,158.2,144.4,166.8,610.7,230.4,310.9,279,182.1
IEEE,All Events (With Major Event Days),2020,3033.8,1725,224.1,408.5,548.4,158.4,943.3,447.4,355.4,335.6,294.3,416.7,283.6,119.9,1066.5,106.6,128,154.1,115.4,123.3,97.4,271.9,44,200.4,521.7,113.8,437.4,332.6,337.7,604.2,3320.4,284.7,1611.7,618.4,771.6,4331.9,565.1,419.4,70.6,136.4,286.5,275.3,73.3,140.1,591.8,293.4,280.7,325.9,268.6,256.9,123.8
IEEE,All Events (With Major Event Days),2021,170.9,325.2,527.8,176.5,448.6,215.3,139.2,218.8,222.6,127.3,302.7,890.9,244.9,361.2,137.8,346,121,267.9,556.9,101.6,101.3,64.3,52,82.9,140.5,127.6,215.2,122.9,798.2,1117.2,175.7,698.8,1189.8,316.8,308.4,5868.8,165.9,1496.4,101.9,185.4,438,251.7,102.4,204.3,113.4,167.9,335.2,1588.3,554.5,537.3,
IEEE,All Events (With Major Event Days),2022,187.4,963.6,165.8,495.5,81.9,914.6,89.6,347.7,207.5,90.8,276.5,520.7,413.6,307.9,95,178.3,275.2,149.5,73,677.6,338.3,79.8,33.7,1011.3,212.4,260,486,302.4,1108.2,1003.2,231.3,345.5,455.9,428.3,437.5,323.8,165.6,204.6,136.9,143.7,167.4,224.7,195.1,175.2,108.7,159,202.4,325.2,403.6,891.3,
