State,Col01,Col02,Col03,Col04,Col05,Col06,Col07,Col08,Col09,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55
Connecticut,179.6,93.7,112.5,201.1,348.9,761.6,246.6,3033.8,170.9,187.4,193.4,88.8,93.7,78,103.2,78.1,80.9,67.5,70.2,76.7,73.7,77.7,171.5,93.6,111.7,199.6,348.6,759,246.6,3032.5,169.7,187.1,188.2,179.6,86.3,103.3,174,291.3,655.5,236.4,2642.6,145.2,157.4,164.6,87.9,86.3,70.2,92,68.2,75.8,60.9,64.6,68.6,66.1,70.3
Maine,971.3,1049.3,213.6,535.4,2492.6,665.3,908.1,1725,325.2,963.6,1863,249.5,235.3,198.7,264.4,238.5,273,213.7,244.8,223.5,216.7,247.4,916.5,1046.1,171.3,510.3,2440.6,639.3,881.8,1718.4,312.1,930.7,1781.4,971.3,1049.3,213.6,535.4,2492.6,665.3,908.1,1725,325.2,963.6,1863,249.5,235.3,198.7,264.4,238.5,273,213.7,244.8,223.5,216.7,247.4
Massachusetts,435.5,126.8,86.4,148.6,178.7,865.3,244.3,224.1,527.8,165.8,265.3,85.7,84.1,71.1,91.6,72.7,81.3,67.5,63.6,88.1,84.4,83.5,422.4,128.1,87.6,153.3,186.1,907,256.4,231,600.8,186.4,268.5,427.3,124.5,91.2,144.9,275.5,813.3,250.2,318.9,518.7,163.2,259.4,84.8,83.2,75.6,113.1,92.2,99,96.1,168.1,87.2,83,82.2
New Hampshire,209.3,815.3,117.3,192.5,915.4,450.8,219.6,408.5,176.5,495.5,590.6,140.1,136.6,104.8,135.3,120.5,122,84.9,99,98.3,78.2,89.3,206.5,821.9,117,190.9,915,449.7,219.6,407.9,165,487.4,587.7,249.7,862.9,149.3,192,1113.3,508.8,292,499.4,234.4,616.7,645.8,162.8,172.5,138.2,141.1,151.1,151.7,111,121.8,127.1,107.5,124.6
Rhode Island,783.2,54.2,341.8,168.9,728.3,594.8,236.5,548.4,448.6,81.9,104.6,57.3,54.2,64.3,69.1,59.1,65.1,68.2,69.1,68.8,63.2,52.2,782.9,54.2,341.8,163.2,716.8,537.4,223.8,452.9,436,81.1,100.8,783.2,54.2,341.8,168.9,728.3,594.8,236.5,548.4,448.6,81.9,104.6,57.3,54.2,64.3,69.1,59.1,65.1,68.2,69.1,68.8,63.2,52.2
Vermont,240,240,193.4,198.8,1792.4,929.8,334,158.4,215.3,914.6,486.3,180,180,193.4,198.8,186.2,357.7,170.4,158.4,215.3,178.5,204.3,240,240,179.4,187.4,1782.7,732.1,329.4,151,210.1,877.6,480.1,436,745,204.2,359.4,873.9,897.6,443.8,255.6,313.2,963.5,744.4,258.6,216.4,205.6,273.2,246.4,262.1,170.1,255.6,262.4,267.6,221.3
New Jersey,167.7,111.7,263.6,137.5,85.5,505.5,249.7,943.3,139.2,89.6,108.2,125.6,78.3,64,85,71,87.4,86.4,86.5,84.3,78.7,88,152.4,109.1,259,115.7,80.4,491.6,240.2,911.3,127.1,81.4,99.2,165.8,112,260.6,137.2,85.8,509.7,247.7,965.2,138.8,89.7,108.3,123.4,78.7,64.6,85.7,71.4,87.7,86.8,87,84.7,79,88.5
New York,274.1,198,146.4,206.1,344.5,396.5,323.7,447.4,218.8,347.7,204.8,121.7,116,137.6,160.2,132.1,145.2,136.9,142.1,131.5,150,130.1,294.2,198,143,185.1,350,402.7,327.5,455.1,221,354,207.5,124.1,92.7,86.5,107.2,227.3,405.5,171,407.7,142,203,120,65.1,63.4,76,82.2,72,79.2,78.9,79.8,80.3,77.6,70
Pennsylvania,143.2,438.3,166.2,132.3,184.5,564,252.5,355.4,222.6,207.5,265.1,102.5,104.1,102.1,105.1,108.4,122.8,130.5,107.5,125.2,125.4,125.9,136.7,426.9,157.4,122.1,169.1,551.3,240.3,343.6,209.6,195.1,248.3,138.6,399.6,156.7,126.2,176.8,518,249.1,334.2,217.8,200.4,252.7,99.5,99.7,98.8,101.4,108.7,119.3,127.7,107.8,130.2,126.1,119.2
Illinois,182.1,197.6,170.9,136.1,120,143.8,116.3,335.6,127.3,90.8,210.4,82.5,91.9,88.4,80.7,72.8,72.5,73.8,57.1,63.6,59.1,56.2,183.1,197.3,168.1,133,117.1,140.5,110.3,333.9,125.6,89.2,209.9,181.8,195.7,169.3,134.9,119.7,142.9,116.2,331.1,127,90.4,208.2,83.3,92.5,88.8,80.8,73.3,72.6,73.9,57.1,63.5,59,56.2
Indiana,246.9,236.5,257.4,254.2,223.5,302.4,266.6,294.3,302.7,276.5,467.4,112.1,122.2,119.7,129.4,135.4,146.1,147.5,127.6,137.4,139.9,111.3,213.9,218.7,244,234.4,197.5,263,217.4,205.1,225.2,217.6,462.1,231.8,239.9,244,252.5,212.4,285.9,260.6,280.1,285.8,279.3,455.4,109.1,120.5,120.1,127.4,131.1,142,146.2,124.8,133.1,137.4,110.3
Michigan,791,592.5,374.5,268.4,802.2,450.2,570.2,416.7,890.9,520.7,1127.7,199.1,183.3,183.4,194.2,180.1,186.4,213.9,168.3,178.6,166.8,164.8,793.9,589,363.7,262.6,798.2,448,565.5,414.3,882.1,519.9,1131.2,782.3,574.7,363.4,267.8,778.8,442.9,554.9,410.7,873.3,513.1,1093.6,198.6,180,178.8,193.1,179.4,185,211.1,167.2,178.4,166,162.7
Ohio,214.8,185.5,167.5,169.5,246.8,240.3,303.8,283.6,244.9,413.6,366.6,110.6,131.4,139.4,127.1,141.8,150.1,145.2,129.2,136,144.1,127.1,205.5,142.1,149.8,142.1,225.1,210.4,277.4,261.5,191.7,318.9,336,217.2,187.9,172.1,174.1,248.4,242,305.2,283.4,244.2,413.2,366.2,111.9,131.8,141,128.9,143.4,151.5,146,129.2,135.9,144,127
Wisconsin,162.9,154.1,107.8,147.8,219.2,117,383.5,119.9,361.2,307.9,203.8,79.5,78,68.8,76.3,69.1,76.4,90,89.1,88,104.7,76.8,161.5,152.9,102.9,144.4,215.3,108.8,377.5,114,360.7,305.2,200.9,146.2,144.7,105,136.5,203.5,122.8,356.2,113.3,311.6,273.5,183,77.9,75.9,70.3,79.2,78.8,79.6,93,86.4,86.4,99.6,72.4
Iowa,140.5,151.3,96,136.5,128.1,115.4,126,1066.5,137.8,95,83.9,90.1,91.1,88.1,96,103.8,92.9,83.7,85.7,80.7,78.2,60.7,129.5,136.3,85.7,122.5,109.7,102.8,111,1053,115.7,80.1,75.5,124.6,164.7,96.8,117.7,119,126.8,122.8,1758.7,133.1,85.8,104.9,79.1,93.4,85.5,92,95.2,92.6,89.8,87.9,79.5,75.5,70.4
