Total Nameplate Capacity by State and Year (MW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
AK,4140.02,4093.98,4368.1,4447.29,4506.46,4473.21,4479.32,4514.48,4514.72,4516.43,4658,4560,4489,4255,4034,4073,4100,4330,4383,4424,4523,4522.4,4644.2,5179.6,5404.4,5613.6,6020.6,6040.8,6031.2,6062.6,6065.2,6080.8,6154.2,6150.6,165853.21
AL,43604.43,44094.85,44100.06,44490.42,44772.66,45647.2,46606.28,46767.77,47430.58,48039.6,50615,50854,57153,65661,66497,66456,66456,66461,67873,68044,70578,71012.8,70987,70203.4,68990.8,65697,62557.8,62907.6,63362.2,60922.6,59862.6,60456.8,61029.8,65546,1995738.25
AR,20409.86,20614.56,20619.96,20692.76,20695.96,20626.96,20541.56,20457.22,20588.56,20441.94,20349,21246,23836,28948,28948,29936,30757,32925,32924,32950,34486,34430.2,36045.8,32715.4,32715.4,32732.4,32683.6,32665.6,32827.6,32736.4,32939.4,32923.4,33144.2,34120.2,955673.94
AZ,33211.1,33193.76,33429.76,33476.62,33715.4,33725,33612.76,33628.76,33457,33448.1,33400,36698,43063,52373,54519,56014,57483,57461,58067,59097,59246,60945.2,62466.4,63041.8,63518.8,63156,63905,64283.2,64324.6,60640.6,61202.8,62008.6,62617.6,66215.2,1720645.06
CA,110051.73,110587.31,110568.39,112108.15,110501.08,110576.48,111930.97,111423.71,108977.67,108920.28,109154,115113,119095,124118,124454,132212,135576,137047,137394,141870,145142,146756.8,152654,157998.2,159589.2,159898.6,163614.6,162554.8,162584.6,161512.8,166468.2,172346.4,182105.8,191053.4,4665958.17
CO,14077.11,14067.31,14224.43,14253.56,15022.85,14962.63,15351.17,15511.33,16233.56,16824.94,17797,18715,20338,23190,24952,24984,25098,27472,28358,29489,31156,31752.4,33348.6,33009.6,33419,35057.4,35677,35538.6,36807.6,36773,38834.2,40209.8,39642.6,42740,894887.69
CT,16063.78,15969.56,15905.32,15449.7,15468.3,15573.92,14744.4,14664.9,13995.8,15035.44,13863,16880,16253,16473,17389,17478,17363,17125,17209,17429,17980,19730.8,20112.4,19574,19334.6,19233.2,19304.8,19327.2,21295.4,22555,22569.8,21768.8,21699.6,21557.2,606375.92
DC,1741.6,1741.6,1741.6,1741.6,1741.6,1741.6,1736,1736,1736,1736,1736,1736,1736,1736,1736,1736,1736,1736,1700,1700,1700,1721.6,21.6,21.6,21.6,49.8,49.8,71.8,71.8,87.8,92.6,104.6,111,113.2,38920.4
DE,4654.24,4881.6,4601.6,4947.24,4947.24,4947.24,4959.84,4936.66,4936.66,4927.66,5204,5181,7056,7246,7222,7038,7053,7049,7049,7021,7027,7052,7150.8,6874.8,6532.2,7256.6,7256.6,7183.8,7186.6,7191,7191,6970.4,6882,6882,214495.78
FL,75436.74,75521.87,78176.13,83501.43,86059.69,87628.85,89767.13,88735.2,88956.36,89961.19,91367,94968,105611,111954,115022,121070,121403,126290,126636,134684,135561,136850.2,136464.6,135210.2,136229.6,134272.2,133410.8,134668.6,129230,133464.6,135738,140901.8,145987.4,149581.2,3910319.79
