,coal,natural gas,nuclear,petroleum and other,other renewables,wind,solar
1950,155,45,0,34,101,0,0
1951,185,57,0,29,105,0,0
1952,195,68,0,30,110,0,0
1953,219,80,0,38,110,0,0
1954,239,94,0,32,112,0,0
1955,301,95,0,37,117,0,0
1956,339,104,0,36,125,0,0
1957,346,114,0,40,134,0,0
1958,344,120,0,40,144,0,0
1959,378,147,0,47,141,0,0
1960,403,158,1,48,150,0,0
1961,422,169,2,49,156,0,0
1962,450,184,2,49,172,0,0
1963,494,202,3,52,169,0,0
1964,526,220,3,57,181,0,0
1965,571,222,4,65,197,0,0
1966,613,251,6,79,198,0,0
1967,630,265,8,89,226,0,0
1968,685,304,13,104,227,0,0
1969,706,333,14,138,254,0,0
1970,704,373,22,184,252,0,0
1971,713,374,38,220,270,0,0
1972,771,376,54,274,278,0,0
1973,848,341,83,314,278,0,0
1974,828,320,114,301,307,0,0
1975,853,300,173,289,307,0,0
1976,944,295,191,320,291,0,0
1977,985,306,251,358,228,0,0
1978,976,305,276,365,287,0,0
1979,1075,329,255,304,287,0,0
1980,1162,346,251,246,285,0,0
1981,1203,346,273,206,270,0,0
1982,1192,305,283,147,318,0,0
1983,1259,274,294,144,342,0,0
1984,1342,297,328,120,333,0,0
1985,1402,292,384,100,295,0,0
1986,1386,249,414,137,306,0,0
1987,1464,273,455,118,265,0,0
1988,1541,253,527,149,238,0,0
1989,1584,353,529,176,323,2,0
1990,1594,373,577,137,354,3,0
1991,1591,382,613,131,355,3,0
1992,1621,404,619,113,324,3,0
1993,1690,415,610,125,354,3,0
1994,1691,460,640,120,334,3,0
1995,1709,496,673,90,382,3,0
1996,1795,455,675,96,419,3,1
1997,1845,479,629,105,430,3,1
1998,1874,531,674,141,396,3,1
1999,1881,556,728,130,395,4,0
2000,1966,601,754,124,350,6,0
2001,1904,639,769,137,280,7,1
2002,1933,691,780,111,332,10,1
2003,1974,650,764,141,343,11,1
2004,1978,710,789,142,336,14,1
2005,2013,761,782,142,339,18,1
2006,1991,816,787,85,358,27,1
2007,2016,897,806,85,318,34,1
2008,1986,883,806,63,325,55,1
2009,1756,921,799,57,343,74,1
2010,1847,988,807,56,331,95,1
2011,1733,1014,790,49,391,120,2
2012,1514,1226,769,44,350,141,4
2013,1581,1125,789,49,345,168,9
2014,1582,1127,797,49,339,182,18
2015,1352,1335,797,50,328,191,25
2016,1239,1379,806,44,346,227,36
2017,1206,1298,805,40,380,254,53
2018,1149,1472,807,46,370,273,64
2019,965,1589,809,39,361,296,72
2020,773,1627,790,37,356,338,89
2021,898,1579,778,38,322,378,115
2022,832,1687,772,40,323,434,144
2023,675,1802,775,32,304,425,165
