name,disaster,date,cost,deaths
Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,2015-04-07,2069,2
Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,2015-04-08,,
Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,2015-04-09,,
South/Southeast Severe Weather (April 2015),Severe Storm,2015-04-18,1707.6,0
South/Southeast Severe Weather (April 2015),Severe Storm,2025-04-19,,
South/Southeast Severe Weather (April 2015),Severe Storm,2015-04-20,,
South and Southeast Severe Weather (April 2015),Severe Storm,2015-04-24,1255.8,3
South and Southeast Severe Weather (April 2015),Severe Storm,2015-04-25,,
Southern Plains Tornadoes (May 2015),Severe Storm,2015-05-06,1679.2,4
Southern Plains Tornadoes (May 2015),Severe Storm,2015-05-07,,
Southern Plains Tornadoes (May 2015),Severe Storm,2015-05-08,,
Southern Plains Tornadoes (May 2015),Severe Storm,2015-05-09,,
Southern Plains Tornadoes (May 2015),Severe Storm,2015-05-10,,
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,2015-05-23,3375.6,31
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,2015-05-24,,
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,2015-05-25,,
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,2015-05-26,,
Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,2015-06-01,3996.9,12
Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,2015-12-26,2609.3,50
Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,2015-12-27,,
Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,2015-12-28,,
Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,2015-12-29,,
Southeast and Eastern Tornadoes (February 2016),Severe Storm,2016-02-22,1383.5,10
Texas and Louisiana Flooding (March 2016),Flooding,2016-03-08,3052.1,5
Texas and Louisiana Flooding (March 2016),Flooding,2016-03-09,,
Texas and Louisiana Flooding (March 2016),Flooding,2016-03-10,,
Texas and Louisiana Flooding (March 2016),Flooding,2016-03-11,,
Texas and Louisiana Flooding (March 2016),Flooding,2016-03-12,,
Southern Severe Weather (March 2016),Severe Storm,2016-03-17,1597.6,1
Southern Severe Weather (March 2016),Severe Storm,2016-03-18,,
North Texas Hail Storm (March 2016),Severe Storm,2016-03-23,2725.5,0
North Texas Hail Storm (March 2016),Severe Storm,2016-03-24,,
North/Central Texas Hail Storm (April 2016),Severe Storm,2016-04-10,4583.2,0
North/Central Texas Hail Storm (April 2016),Severe Storm,2016-04-11,,
North/Central Texas Hail Storm (April 2016),Severe Storm,2016-04-12,,
Houston Flooding (April 2016),Flooding,2016-04-17,3559.1,8
Houston Flooding (April 2016),Flooding,2016-04-18,,
South/Southeast Tornadoes (April 2016),Severe Storm,2016-04-26,3136.7,6
Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,2016-05-08,2252.9,2
Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,2016-05-21,1501.5,0
Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,2017-01-20,1436.5,24
Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,2017-01-21,,
Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,2017-01-22,,
South/Southeast Severe Weather (March 2017),Severe Storm,2017-03-26,3476.6,0
South/Southeast Severe Weather (March 2017),Severe Storm,2017-03-27,,
South/Southeast Severe Weather (March 2017),Severe Storm,2017-03-28,,
Southeast Severe Weather and Tornadoes (April 2017),Severe Storm,2017-04-04,1259.2,1
Southeast Severe Weather and Tornadoes (April 2017),Severe Storm,2017-04-05,,
Southeast Severe Weather and Tornadoes (April 2017),Severe Storm,2017-04-06,,
South and Southeast Severe Weather (April 2017),Severe Storm,2017-04-20,1152,0
South and Southeast Severe Weather (April 2017),Severe Storm,2017-04-21,,
South and Southeast Severe Weather (April 2017),Severe Storm,2017-04-22,,
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,2017-04-25,2156.7,20
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,2017-05-08,4321.5,0
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,2017-05-09,,
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,2017-05-10,,
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,2017-05-11,,
Midwest Severe Weather (June 2017),Severe Storm,2017-06-12,1931.5,0
Midwest Severe Weather (June 2017),Severe Storm,2017-06-13,,
Midwest Severe Weather (June 2017),Severe Storm,2017-06-14,,
Midwest Severe Weather (June 2017),Severe Storm,2017-06-15,,
Midwest Severe Weather (June 2017),Severe Storm,2017-06-16,,
Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,160000,89
Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,2018-03-18,1829.5,0
Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,2018-04-13,1660.7,3
Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,2018-04-14,,
Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,2018-04-15,,
Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,2018-04-16,,
Central and Northeast Severe Weather (May 2018),Severe Storm,2018-05-01,1751.3,0
Central and Northeast Severe Weather (May 2018),Severe Storm,2018-05-02,,
Central and Northeast Severe Weather (May 2018),Severe Storm,2018-05-03,,
Central and Northeast Severe Weather (May 2018),Severe Storm,2018-05-04,,
Central and Eastern Severe Weather (May 2018),Severe Storm,2018-05-13,1726.2,5
Central and Eastern Severe Weather (May 2018),Severe Storm,2018-05-14,,
Central and Eastern Severe Weather (May 2018),Severe Storm,2018-05-15,,
Texas Hail Storm (June 2018),Severe Storm,2018-06-06,1625,0
Texas Hail Storm (March 2019),Severe Storm,2019-03-22,1903.4,0
Texas Hail Storm (March 2019),Severe Storm,2019-03-23,,
Texas Hail Storm (March 2019),Severe Storm,2019-03-24,,
Southern and Eastern Tornadoes and Severe Weather (April 2019),Severe Storm,2019-04-13,1540,7
Southern and Eastern Tornadoes and Severe Weather (April 2019),Severe Storm,2019-04-14,,
South and Southeast Severe Weather (May 2019),Severe Storm,2019-05-07,1862.4,0
South and Southeast Severe Weather (May 2019),Severe Storm,2019-05-08,,
South and Southeast Severe Weather (May 2019),Severe Storm,2019-05-09,,
South and Southeast Severe Weather (May 2019),Severe Storm,2019-05-10,,
South and Southeast Severe Weather (May 2019),Severe Storm,2019-05-11,,
South and Southeast Severe Weather (May 2019),Severe Storm,2019-05-12,,
South and Southeast Severe Weather (May 2019),Severe Storm,2019-05-13,,
Central Severe Weather (May 2019),Severe Storm,2019-05-16,1196.9,0
Central Severe Weather (May 2019),Severe Storm,2019-05-17,,
Central Severe Weather (May 2019),Severe Storm,2019-05-18,,
"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,2019-03-15,7649.6,4
"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,2019-03-16,,
