year,state,energy_source,source,generation,gen_round
1990,AK,Coal,coal,510573,1
1990,AK,Hydroelectric Conventional,other.renewables,974521,1
1990,AK,Natural Gas,natural.gas,3466261,3
1990,AK,Petroleum,petroleum.and.other,497116,0
1990,AK,Wind,wind,0,0
1990,AK,Wood and Wood Derived Fuels,other.renewables,151035,0
1990,AL,Coal,coal,53658115,54
1990,AL,Hydroelectric Conventional,other.renewables,10366507,10
1990,AL,Natural Gas,natural.gas,1020714,1
1990,AL,Nuclear,nuclear,12051882,12
1990,AL,Other Biomass,other.renewables,47503,0
1990,AL,Other Gases,petroleum.and.other,269476,0
1990,AL,Petroleum,petroleum.and.other,138089,0
1990,AL,Wood and Wood Derived Fuels,other.renewables,2099847,2
1990,AR,Coal,coal,19207935,19
1990,AR,Hydroelectric Conventional,other.renewables,3654653,4
1990,AR,Natural Gas,natural.gas,3578573,4
1990,AR,Nuclear,nuclear,11282053,11
1990,AR,Other Biomass,other.renewables,15389,0
1990,AR,Petroleum,petroleum.and.other,79979,0
1990,AR,Pumped Storage,other.renewables,42972,0
1990,AR,Wood and Wood Derived Fuels,other.renewables,1238044,1
1990,AZ,Coal,coal,31915610,32
1990,AZ,Hydroelectric Conventional,other.renewables,7417576,7
1990,AZ,Natural Gas,natural.gas,2333900,2
1990,AZ,Nuclear,nuclear,20597689,21
1990,AZ,Petroleum,petroleum.and.other,151867,0
1990,AZ,Pumped Storage,other.renewables,249767,0
1990,AZ,Wood and Wood Derived Fuels,other.renewables,107888,0
1990,CA,Coal,coal,2637677,3
1990,CA,Geothermal,other.renewables,14521254,15
1990,CA,Hydroelectric Conventional,other.renewables,23792567,24
1990,CA,Natural Gas,natural.gas,74168308,74
1990,CA,Nuclear,nuclear,32692807,33
1990,CA,Other,petroleum.and.other,0,0
1990,CA,Other Biomass,other.renewables,2117915,2
1990,CA,Other Gases,petroleum.and.other,2146742,2
1990,CA,Petroleum,petroleum.and.other,5473852,5
1990,CA,Pumped Storage,other.renewables,986252,1
1990,CA,Solar Thermal and Photovoltaic,solar,366668,0
1990,CA,Wind,wind,2758881,3
1990,CA,Wood and Wood Derived Fuels,other.renewables,4121986,4
1990,CO,Coal,coal,29814983,30
1990,CO,Hydroelectric Conventional,other.renewables,1419870,1
1990,CO,Natural Gas,natural.gas,1290092,1
1990,CO,Other Biomass,other.renewables,28990,0
1990,CO,Petroleum,petroleum.and.other,27390,0
1990,CO,Pumped Storage,other.renewables,-33198,0
1990,CT,Coal,coal,3594645,4
1990,CT,Hydroelectric Conventional,other.renewables,570619,1
1990,CT,Natural Gas,natural.gas,1251479,1
1990,CT,Nuclear,nuclear,19776250,20
1990,CT,Other,petroleum.and.other,0,0
1990,CT,Other Biomass,other.renewables,1073310,1
1990,CT,Other Gases,petroleum.and.other,4,0
1990,CT,Petroleum,petroleum.and.other,8874466,9
