year,state,source,generation,gen_round
2023,AK,coal,730681,1
2023,AK,other.renewables,1773391,2
2023,AK,natural.gas,3182407,3
2023,AK,petroleum.and.other,-4263,0
2023,AK,other.renewables,38918,0
2023,AK,petroleum.and.other,885275,1
2023,AK,solar,46,0
2023,AK,wind,111369,0
2023,AK,other.renewables,0,0
2023,AL,coal,19181958,19
2023,AL,other.renewables,8429721,8
2023,AL,natural.gas,61848366,62
2023,AL,nuclear,45579039,46
2023,AL,petroleum.and.other,-93,0
2023,AL,other.renewables,41362,0
2023,AL,petroleum.and.other,32,0
2023,AL,petroleum.and.other,24540,0
2023,AL,solar,1200722,1
2023,AL,other.renewables,3129363,3
2023,AR,coal,16844436,17
2023,AR,other.renewables,3228778,3
2023,AR,natural.gas,26487467,26
2023,AR,nuclear,14972481,15
2023,AR,petroleum.and.other,6419,0
2023,AR,other.renewables,26514,0
2023,AR,petroleum.and.other,44535,0
2023,AR,other.renewables,100532,0
2023,AR,solar,797523,1
2023,AR,other.renewables,686961,1
2023,AZ,coal,12068553,12
2023,AZ,other.renewables,5937328,6
2023,AZ,natural.gas,52817503,53
2023,AZ,nuclear,31522590,32
2023,AZ,petroleum.and.other,-39558,0
2023,AZ,other.renewables,17570,0
2023,AZ,petroleum.and.other,31568,0
2023,AZ,other.renewables,136248,0
2023,AZ,solar,7438116,7
2023,AZ,wind,1733354,2
2023,AZ,other.renewables,175463,0
2023,CA,coal,208862,0
2023,CA,other.renewables,11265933,11
2023,CA,other.renewables,32381318,32
2023,CA,natural.gas,94390153,94
2023,CA,nuclear,17718368,18
2023,CA,petroleum.and.other,-482413,0
2023,CA,other.renewables,2340688,2
2023,CA,petroleum.and.other,1381893,1
2023,CA,petroleum.and.other,75041,0
2023,CA,other.renewables,-392677,0
2023,CA,solar,41000969,41
2023,CA,wind,14019194,14
2023,CA,other.renewables,2721464,3
2023,CO,coal,18787617,19
2023,CO,other.renewables,1596568,2
2023,CO,natural.gas,17219760,17
2023,CO,petroleum.and.other,24611,0
2023,CO,other.renewables,69372,0
2023,CO,petroleum.and.other,0,0
2023,CO,petroleum.and.other,47935,0
2023,CO,other.renewables,25010,0
2023,CO,solar,3615630,4
2023,CO,wind,16091081,16
2023,CO,other.renewables,64136,0
2023,CT,coal,0,0
2023,CT,other.renewables,465313,0
2023,CT,natural.gas,24952021,25
2023,CT,nuclear,13669458,14
2023,CT,petroleum.and.other,429335,0
2023,CT,other.renewables,357751,0
2023,CT,petroleum.and.other,124204,0
2023,CT,other.renewables,4521,0
2023,CT,solar,421001,0
2023,CT,wind,9889,0
2023,CT,other.renewables,232926,0
2023,DC,natural.gas,89210,0
2023,DC,other.renewables,58012,0
2023,DC,petroleum.and.other,54,0
2023,DC,solar,24594,0
2023,DE,coal,-6498,0
2023,DE,natural.gas,4382640,4
2023,DE,other.renewables,66300,0
2023,DE,petroleum.and.other,172094,0
2023,DE,petroleum.and.other,-1891,0
2023,DE,solar,155249,0
2023,DE,wind,4165,0
2023,FL,coal,11691452,12
2023,FL,other.renewables,224192,0
2023,FL,natural.gas,197190793,197
2023,FL,nuclear,29940194,30
2023,FL,petroleum.and.other,2366170,2
2023,FL,other.renewables,1814273,2
2023,FL,petroleum.and.other,56,0
2023,FL,petroleum.and.other,1202441,1
2023,FL,solar,14059412,14
2023,FL,other.renewables,1309497,1
2023,GA,coal,16769057,17
2023,GA,other.renewables,2871919,3
2023,GA,natural.gas,60043962,60
2023,GA,nuclear,37376836,37
2023,GA,petroleum.and.other,86444,0
2023,GA,other.renewables,312657,0
2023,GA,petroleum.and.other,235837,0
2023,GA,other.renewables,-663733,-1
2023,GA,solar,7549786,8
2023,GA,other.renewables,4638749,5
2023,HI,other.renewables,192588,0
2023,HI,other.renewables,93299,0
2023,HI,petroleum.and.other,174037,0
2023,HI,other.renewables,287607,0
2023,HI,petroleum.and.other,0,0
2023,HI,petroleum.and.other,7159456,7
2023,HI,solar,652840,1
2023,HI,wind,634222,1
2023,HI,other.renewables,115,0
2023,IA,coal,16413709,16
2023,IA,other.renewables,948077,1
2023,IA,natural.gas,10241479,10
2023,IA,petroleum.and.other,-48,0
2023,IA,other.renewables,208493,0
2023,IA,petroleum.and.other,63564,0
2023,IA,solar,521369,1
2023,IA,wind,41439495,41
2023,IA,other.renewables,836,0
2023,ID,coal,0,0
2023,ID,other.renewables,88590,0
2023,ID,other.renewables,8377742,8
2023,ID,natural.gas,5686224,6
